item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
50414210,HAVSTA,Tables & desks,445.0,No old price,True,https://www.ikea.com/sa/en/p/havsta-nest-of-tables-set-of-2-grey-50414210/,Yes,"        Nest of tables, set of 2",IKEA of Sweden,,,
29125410,NORSBORG,Chairs,1740.0,"SR 2,175",True,https://www.ikea.com/sa/en/p/norsborg-chaise-longue-finnsta-dark-grey-birch-s29125410/,Yes,        Chaise longue,Ehlén Johansson,157.0,85.0,110.0
40320349,SETSKOG,Tables & desks,159.0,No old price,True,https://www.ikea.com/sa/en/p/setskog-bedside-table-white-40320349/,No,"        Bedside table,          45x35 cm",K Hagberg/M Hagberg,35.0,65.0,45.0
59131626,MÖRBYLÅNGA / BERNHARD,Chairs,6965.0,No old price,True,https://www.ikea.com/sa/en/p/moerbylanga-bernhard-table-and-6-chairs-brown-kavat-white-s59131626/,No,"        Table and 6 chairs,          220x100 cm",Ola Wihlborg/S Lanneskog/J Marnell,,74.0,100.0
20270816,ASKVOLL,Tables & desks,175.0,No old price,True,https://www.ikea.com/sa/en/p/askvoll-chest-of-2-drawers-white-stained-oak-effect-white-20270816/,No,"        Chest of 2 drawers,          41x48 cm",K Hagberg/M Hagberg,41.0,48.0,41.0
59266074,LIDHULT,Beds,7873.0,"SR 9,430",True,https://www.ikea.com/sa/en/p/lidhult-3-seat-sofa-bed-with-chaise-longue-grann-bomstad-dark-brown-s59266074/,No,        3-seat sofa-bed,Henrik Preutz/IKEA of Sweden,164.0,102.0,298.0
60389192,HAVSTA,Cabinets & cupboards,845.0,No old price,True,https://www.ikea.com/sa/en/p/havsta-cabinet-white-60389192/,Yes,"        Cabinet,          81x35x123 cm",IKEA of Sweden,35.0,123.0,81.0
9217972,VIMLE,Sofas & armchairs,1400.0,No old price,True,https://www.ikea.com/sa/en/p/vimle-cover-for-corner-sofa-5-seat-orrsta-black-blue-s09217972/,Yes,"        Cover for corner sofa, 5-seat",Ehlén Johansson,,,
90402352,VOLFGANG,Chairs,375.0,No old price,True,https://www.ikea.com/sa/en/p/volfgang-chair-chrome-plated-bomstad-black-90402352/,No,        Chair,IKEA of Sweden,53.0,90.0,50.0
59278307,KALLAX,"Sideboards, buffets & console tables",500.0,No old price,True,https://www.ikea.com/sa/en/p/kallax-shelving-unit-with-4-inserts-white-s59278307/,Yes,"        Shelving unit with 4 inserts,          77x147 cm",Tord Björklund,39.0,147.0,77.0
80314704,YTTERÖN,Outdoor furniture,99.0,No old price,True,https://www.ikea.com/sa/en/p/ytteroen-seat-back-cushion-outdoor-blue-80314704/,No,"        Seat/back cushion, outdoor,          92x50 cm",IKEA of Sweden,,,50.0
275848,KALLAX,Bookcases & shelving units,195.0,No old price,True,https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-00275848/,Yes,"        Shelving unit,          42x147 cm",Tord Björklund,39.0,147.0,42.0
10430033,DELAKTIG,Sofas & armchairs,100.0,No old price,True,https://www.ikea.com/sa/en/p/delaktig-cover-for-seat-cushion-armchair-gunnared-beige-10430033/,Yes,"        Cover for seat cushion, armchair",Tom Dixon,,,
99000483,TÄRENDÖ,Tables & desks,125.0,No old price,True,https://www.ikea.com/sa/en/p/taerendoe-table-black-s99000483/,No,"        Table,          110x67 cm",K Hagberg/M Hagberg,,74.0,67.0
